record_id,train_number,section_id,from_station,to_station,distance_km,max_speed_kmh,actual_speed_kmh,scheduled_travel_min,actual_travel_min,scheduled_dwell_min,actual_dwell_min,weather_condition,prev_delay_min,recovered_delay_min,current_delay_min,math_baseline_min,section_residual_min,timestamp
1,12305,1,HWH,BWN,95.0,130.0,108.5,60.0,55.83,3,6.3,Clear,20.7,4.3,15.5,52.53,3.3,2026-01-01 06:09:00
2,13009,2,BWN,DGR,63.0,110.0,102.7,45.0,37.61,2,2.8,Clear,1.5,1.5,0.0,36.81,0.8,2026-01-01 06:15:00
3,12301,2,BWN,DGR,63.0,110.0,76.8,45.0,52.52,2,5.3,Fog,24.3,0.0,35.1,49.22,3.3,2026-01-01 06:30:00
4,12301,3,DGR,ASN,42.0,110.0,86.4,30.0,33.67,3,7.5,Rain,13.2,0.0,21.4,29.17,4.5,2026-01-01 06:48:00
5,13009,1,HWH,BWN,95.0,130.0,111.6,60.0,52.58,3,4.5,Clear,8.7,1.9,0.9,51.08,1.5,2026-01-01 07:09:00
6,12313,2,BWN,DGR,63.0,110.0,101.7,45.0,38.67,2,3.5,Clear,4.3,1.8,0.0,37.17,1.5,2026-01-01 07:18:00
7,12313,1,HWH,BWN,95.0,130.0,114.1,60.0,51.56,3,4.6,Clear,17.0,4.8,5.4,49.96,1.6,2026-01-01 07:30:00
8,12303,3,DGR,ASN,42.0,110.0,90.2,30.0,28.34,3,3.4,Clear,6.5,1.8,3.4,27.94,0.4,2026-01-01 07:47:00
9,12303,3,DGR,ASN,42.0,110.0,94.7,30.0,30.31,3,6.7,Clear,9.2,2.8,10.4,26.61,3.7,2026-01-01 08:04:00
10,12301,3,DGR,ASN,42.0,110.0,109.1,30.0,23.5,3,3.4,Clear,18.8,4.2,8.5,23.1,0.4,2026-01-01 08:18:00
11,12339,1,HWH,BWN,95.0,130.0,113.1,60.0,54.6,3,7.2,Clear,3.1,0.6,1.3,50.4,4.2,2026-01-01 08:37:00
12,12303,1,HWH,BWN,95.0,130.0,108.2,60.0,56.78,3,7.1,Clear,11.2,3.0,9.1,52.68,4.1,2026-01-01 08:47:00
13,12313,1,HWH,BWN,95.0,130.0,106.9,60.0,55.82,3,5.5,Clear,15.9,1.2,13.0,53.32,2.5,2026-01-01 09:02:00
14,12339,3,DGR,ASN,42.0,110.0,104.6,30.0,28.89,3,7.8,Clear,18.3,3.5,18.5,24.09,4.8,2026-01-01 09:21:00
15,12313,1,HWH,BWN,95.0,130.0,115.9,60.0,51.38,3,5.2,Clear,27.7,2.3,19.0,49.18,2.2,2026-01-01 09:40:00
16,12313,1,HWH,BWN,95.0,130.0,121.1,60.0,47.97,3,3.9,Clear,8.2,4.6,0.0,47.07,0.9,2026-01-01 09:48:00
17,12301,3,DGR,ASN,42.0,110.0,70.4,30.0,39.7,3,6.9,Fog,12.3,0.0,25.9,35.8,3.9,2026-01-01 10:09:00
18,12313,2,BWN,DGR,63.0,110.0,101.2,45.0,39.35,2,4.0,Rain,18.8,0.7,14.5,37.35,2.0,2026-01-01 10:22:00
19,12301,2,BWN,DGR,63.0,110.0,86.2,45.0,48.85,2,7.0,Clear,1.6,0.0,10.4,43.85,5.0,2026-01-01 10:37:00
20,12313,2,BWN,DGR,63.0,110.0,93.7,45.0,41.44,2,3.1,Clear,17.7,4.7,10.5,40.34,1.1,2026-01-01 10:46:00
21,12313,2,BWN,DGR,63.0,110.0,89.1,45.0,44.82,2,4.4,Rain,3.2,0.0,5.4,42.42,2.4,2026-01-01 11:10:00
22,12301,3,DGR,ASN,42.0,110.0,84.2,30.0,34.43,3,7.5,Rain,0.7,0.0,9.6,29.93,4.5,2026-01-01 11:16:00
23,12313,1,HWH,BWN,95.0,130.0,104.5,60.0,58.45,3,6.9,Clear,0.7,0.7,2.3,54.55,3.9,2026-01-01 11:39:00
24,12339,1,HWH,BWN,95.0,130.0,119.4,60.0,49.44,3,4.7,Rain,21.9,2.7,10.3,47.74,1.7,2026-01-01 11:54:00
25,12303,3,DGR,ASN,42.0,110.0,93.9,30.0,30.84,3,7.0,Rain,8.0,4.8,8.0,26.84,4.0,2026-01-01 12:06:00
26,12305,3,DGR,ASN,42.0,110.0,95.2,30.0,27.47,3,4.0,Clear,5.0,0.1,3.4,26.47,1.0,2026-01-01 12:25:00
27,12313,1,HWH,BWN,95.0,130.0,128.5,60.0,46.26,3,4.9,Clear,26.3,3.6,10.9,44.36,1.9,2026-01-01 12:38:00
28,12339,2,BWN,DGR,63.0,110.0,100.6,45.0,41.97,2,6.4,Rain,0.9,0.9,1.4,37.57,4.4,2026-01-01 12:45:00
29,13009,2,BWN,DGR,63.0,110.0,75.1,45.0,54.53,2,6.2,Fog,13.5,0.0,27.2,50.33,4.2,2026-01-01 13:06:00
30,12301,3,DGR,ASN,42.0,110.0,98.7,30.0,28.83,3,6.3,Clear,23.6,0.5,25.2,25.53,3.3,2026-01-01 13:18:00
31,12305,1,HWH,BWN,95.0,130.0,126.4,60.0,45.89,3,3.8,Clear,4.6,1.5,0.0,45.09,0.8,2026-01-01 13:35:00
32,13009,3,DGR,ASN,42.0,110.0,101.2,30.0,24.9,3,3.0,Clear,1.8,1.2,0.0,24.9,0.0,2026-01-01 13:50:00
33,12339,2,BWN,DGR,63.0,110.0,76.2,45.0,50.31,2,2.7,Fog,28.2,0.0,34.2,49.61,0.7,2026-01-01 14:03:00
34,12313,3,DGR,ASN,42.0,110.0,83.7,30.0,30.31,3,3.2,Clear,17.9,0.0,18.4,30.11,0.2,2026-01-01 14:17:00
35,12313,1,HWH,BWN,95.0,130.0,119.4,60.0,48.94,3,4.2,Clear,10.9,4.6,0.0,47.74,1.2,2026-01-01 14:33:00
36,13009,3,DGR,ASN,42.0,110.0,60.1,30.0,43.33,3,4.4,Fog,22.2,0.0,36.9,41.93,1.4,2026-01-01 14:55:00
